"marker" "tissue" "fineCluster" "nCells" "UMIsum" "nth" "median" "f90" "UMItotal" "Alias" "Clone" "Isotype_Mouse" "Corresponding_gene" "TotalSeqC_Tag" "BioLegend_Cat" "Stock_conc_µg_per_mL" "conc_µg_per_mL" "dilution_1x" "marker.y" "DSB.cutoff" "positive" "count" "pct"
"1" "CD103" "PBMC" "1" 638 1740 5 2 5 5082 NA "BerACT8" "IgG1" "ITGAE" "0145" 350233 500 1.25 400 "CD103" 7 14 1777 0.79
"2" "CD103" "Lung" "16" 132 7084 187 5 187 60252 NA "BerACT8" "IgG1" "ITGAE" "0145" 350233 500 1.25 400 "CD103" 7 501 1681 29.8
"3" "CD107a" "PBMC" "1" 638 7757 26.3000000000001 8 26.3000000000001 13396 "LAMP1" "H4A3" "IgG1" "LAMP1" "0155" 328649 500 2.5 200 "CD107a" 7 122 1777 6.87
"4" "CD107a" "Lung" "12" 260 11674 99.1999999999999 15 99.1999999999999 23273 "LAMP1" "H4A3" "IgG1" "LAMP1" "0155" 328649 500 2.5 200 "CD107a" 7 150 1681 8.92
"5" "CD117" "PBMC" "1" 638 1318 4 2 4 3316 "C-kit" "104D2" "IgG1" "KIT" "0061" 313243 500 2.5 200 "CD117" 7 3 1777 0.17
"6" "CD117" "Lung" "21" 32 1695 41 41 130.4 5878 "C-kit" "104D2" "IgG1" "KIT" "0061" 313243 500 2.5 200 "CD117" 7 32 1681 1.9
"7" "CD11b" "PBMC" "5" 238 7473 60 26 60 27663 NA "ICRF44" "IgG1" "ITGAM" "0161" 301359 500 0.625 800 "CD11b" 8 676 1777 38.04
"8" "CD11b" "Lung" "12" 260 7689 59.2 23 59.2 11223 NA "ICRF44" "IgG1" "ITGAM" "0161" 301359 500 0.625 800 "CD11b" 8 167 1681 9.93
"9" "CD123" "PBMC" "17" 38 674 16 16 33.9 2170 NA "6H6" "IgG1" "IL3RA" "0064" 306045 500 0.5 1000 "CD123" 7 115 1777 6.47
"10" "CD123" "Lung" "12" 260 687 6 1 6 1836 NA "6H6" "IgG1" "IL3RA" "0064" 306045 500 0.5 1000 "CD123" 7 108 1681 6.42
"11" "CD127" "PBMC" "0" 1224 2685 5 2 5 3019 "IL7Ralpha" "A019D5" "IgG1" "IL7R" "0390" 351356 500 1.25 400 "CD127" 6 188 1777 10.58
"12" "CD127" "Lung" "12" 260 429 4 1 4 2659 "IL7Ralpha" "A019D5" "IgG1" "IL7R" "0390" 351356 500 1.25 400 "CD127" 6 89 1681 5.29
"13" "CD134" "PBMC" "1" 638 3024 8 4 8 8049 "OX40" "Ber-ACT35 (ACT35)" "IgG1" "TNFRSF4" "0158" 350035 500 5 100 "CD134" 5 1 1777 0.06
"14" "CD134" "Lung" "14" 174 1272 11.7 5 11.7 11254 "OX40" "Ber-ACT35 (ACT35)" "IgG1" "TNFRSF4" "0158" 350035 500 5 100 "CD134" 5 20 1681 1.19
"15" "CD138" "PBMC" "5" 238 1627 11 6 11 9438 NA "DL-101" "IgG1" "SDC1" "0831" 352327 500 3 166.666666666667 "CD138" 5 3 1777 0.17
"16" "CD138" "Lung" "8" 518 4258 14 6 14 13470 NA "DL-101" "IgG1" "SDC1" "0831" 352327 500 3 166.666666666667 "CD138" 5 15 1681 0.89
"17" "CD14" "PBMC" "1" 638 4523 14 6 14 7765 NA "M5E2" "IgG2a" "CD14" "0081" 301859 500 1 500 "CD14" 7 152 1777 8.55
"18" "CD14" "Lung" "12" 260 4143 33.1 11 33.1 8979 NA "M5E2" "IgG2a" "CD14" "0081" 301859 500 1 500 "CD14" 7 130 1681 7.73
"19" "CD141" "PBMC" "4" 320 1208 8 3 8 4430 "Thrombomodulin" "M80" "IgG1" "THBD" "0163" 344125 500 1.25 400 "CD141" 7 125 1777 7.03
"20" "CD141" "Lung" "12" 260 1474 11 4 11 5502 "Thrombomodulin" "M80" "IgG1" "THBD" "0163" 344125 500 1.25 400 "CD141" 7 120 1681 7.14
"21" "CD152" "PBMC" "1" 638 3071 8 4 8 7925 "CTLA4" "BNI3" "IgG2a" "CTLA4" "0151" 369621 500 10 50 "CD152" 5 4 1777 0.23
"22" "CD152" "Lung" "8" 518 2481 8 4 8 10335 "CTLA4" "BNI3" "IgG2a" "CTLA4" "0151" 369621 500 10 50 "CD152" 5 3 1681 0.18
"23" "CD183" "PBMC" "5" 238 8435 53.3 31 53.3 52896 "CXCR3" "G025H7" "IgG1" "CXCR3" "0140" 353747 500 10 50 "CD183" 4 2 1777 0.11
"24" "CD183" "Lung" "8" 518 18145 52 28 52 68794 "CXCR3" "G025H7" "IgG1" "CXCR3" "0140" 353747 500 10 50 "CD183" 4 2 1681 0.12
